currency,asset,strategy,profit[%],market change[%],wins[%],best win,worst loss,avg HODL[min],candleSize,historySize,trades,dataset from,to,strategy settings,note
USDT,BTC,MACD 14|29|16,3.75,3.80,,,,0,10,73,1,2018-04-02 00:00:00,2018-04-03 00:00:00,long = 29 short = 16 signal = 14 [thresholds] down = -0.025 persistence = 1 up = 0.025,first run
USDT,BTC,MACD 14|25|12,3.75,3.80,,,,0,10,73,1,2018-04-02 00:00:00,2018-04-03 00:00:00,long = 25 short = 12 signal = 14 [thresholds] down = -0.025 persistence = 1 up = 0.025,first run
USDT,BTC,MACD 14|27|17,3.75,3.80,,,,0,10,73,1,2018-04-02 00:00:00,2018-04-03 00:00:00,long = 27 short = 17 signal = 14 [thresholds] down = -0.025 persistence = 1 up = 0.025,first run
USDT,BTC,MACD 15|30|14,3.75,3.80,,,,0,10,73,1,2018-04-02 00:00:00,2018-04-03 00:00:00,long = 30 short = 14 signal = 15 [thresholds] down = -0.025 persistence = 1 up = 0.025,first run
USDT,BTC,MACD 15|28|12,3.75,3.80,,,,0,10,73,1,2018-04-02 00:00:00,2018-04-03 00:00:00,long = 28 short = 12 signal = 15 [thresholds] down = -0.025 persistence = 1 up = 0.025,first run
USDT,BTC,MACD 12|22|20,3.75,3.80,,,,0,10,73,1,2018-04-02 00:00:00,2018-04-03 00:00:00,long = 22 short = 20 signal = 12 [thresholds] down = -0.025 persistence = 1 up = 0.025,first run
USDT,BTC,MACD 14|27|14,3.75,3.80,,,,0,10,73,1,2018-04-02 00:00:00,2018-04-03 00:00:00,long = 27 short = 14 signal = 14 [thresholds] down = -0.025 persistence = 1 up = 0.025,first run
USDT,BTC,MACD 15|25|10,3.75,3.80,,,,0,10,73,1,2018-04-02 00:00:00,2018-04-03 00:00:00,long = 25 short = 10 signal = 15 [thresholds] down = -0.025 persistence = 1 up = 0.025,first run
USDT,BTC,MACD 10|28|11,3.75,3.80,,,,0,10,73,1,2018-04-02 00:00:00,2018-04-03 00:00:00,long = 28 short = 11 signal = 10 [thresholds] down = -0.025 persistence = 1 up = 0.025,first run
USDT,BTC,MACD 10|27|12,3.75,3.80,,,,0,10,73,1,2018-04-02 00:00:00,2018-04-03 00:00:00,long = 27 short = 12 signal = 10 [thresholds] down = -0.025 persistence = 1 up = 0.025,first run
USDT,BTC,MACD 9|24|17,3.75,3.80,,,,0,10,73,1,2018-04-02 00:00:00,2018-04-03 00:00:00,long = 24 short = 17 signal = 9 [thresholds] down = -0.025 persistence = 1 up = 0.025,first run
USDT,BTC,MACD 12|21|19,3.75,3.80,,,,0,10,73,1,2018-04-02 00:00:00,2018-04-03 00:00:00,long = 21 short = 19 signal = 12 [thresholds] down = -0.025 persistence = 1 up = 0.025,first run
USDT,BTC,MACD 14|23|16,3.75,3.80,,,,0,10,73,1,2018-04-02 00:00:00,2018-04-03 00:00:00,long = 23 short = 16 signal = 14 [thresholds] down = -0.025 persistence = 1 up = 0.025,first run
USDT,BTC,MACD 14|28|17,3.75,3.80,,,,0,10,73,1,2018-04-02 00:00:00,2018-04-03 00:00:00,long = 28 short = 17 signal = 14 [thresholds] down = -0.025 persistence = 1 up = 0.025,first run
USDT,BTC,MACD 13|31|16,3.75,3.80,,,,0,10,73,1,2018-04-02 00:00:00,2018-04-03 00:00:00,long = 31 short = 16 signal = 13 [thresholds] down = -0.025 persistence = 1 up = 0.025,first run
USDT,BTC,MACD 13|22|15,3.75,3.80,,,,0,10,73,1,2018-04-02 00:00:00,2018-04-03 00:00:00,long = 22 short = 15 signal = 13 [thresholds] down = -0.025 persistence = 1 up = 0.025,first run
USDT,BTC,MACD 11|22|14,3.75,3.80,,,,0,10,73,1,2018-04-02 00:00:00,2018-04-03 00:00:00,long = 22 short = 14 signal = 11 [thresholds] down = -0.025 persistence = 1 up = 0.025,first run
USDT,BTC,MACD 15|21|16,3.75,3.80,,,,0,10,73,1,2018-04-02 00:00:00,2018-04-03 00:00:00,long = 21 short = 16 signal = 15 [thresholds] down = -0.025 persistence = 1 up = 0.025,first run
USDT,BTC,MACD 14|27|10,3.75,3.80,,,,0,10,73,1,2018-04-02 00:00:00,2018-04-03 00:00:00,long = 27 short = 10 signal = 14 [thresholds] down = -0.025 persistence = 1 up = 0.025,first run
USDT,BTC,MACD 13|22|19,3.75,3.80,,,,0,10,73,1,2018-04-02 00:00:00,2018-04-03 00:00:00,long = 22 short = 19 signal = 13 [thresholds] down = -0.025 persistence = 1 up = 0.025,first run
USDT,BTC,MACD 15|23|16,3.75,3.80,,,,0,10,73,1,2018-04-02 00:00:00,2018-04-03 00:00:00,long = 23 short = 16 signal = 15 [thresholds] down = -0.025 persistence = 1 up = 0.025,first run
USDT,BTC,MACD 13|25|16,3.75,3.80,,,,0,10,73,1,2018-04-02 00:00:00,2018-04-03 00:00:00,long = 25 short = 16 signal = 13 [thresholds] down = -0.025 persistence = 1 up = 0.025,first run
USDT,BTC,MACD 14|30|15,3.75,3.80,,,,0,10,73,1,2018-04-02 00:00:00,2018-04-03 00:00:00,long = 30 short = 15 signal = 14 [thresholds] down = -0.025 persistence = 1 up = 0.025,first run
USDT,BTC,MACD 9|26|16,3.75,3.80,,,,0,10,73,1,2018-04-02 00:00:00,2018-04-03 00:00:00,long = 26 short = 16 signal = 9 [thresholds] down = -0.025 persistence = 1 up = 0.025,first run
USDT,BTC,MACD 13|30|15,3.75,3.80,,,,0,10,73,1,2018-04-02 00:00:00,2018-04-03 00:00:00,long = 30 short = 15 signal = 13 [thresholds] down = -0.025 persistence = 1 up = 0.025,first run
USDT,BTC,MACD 13|24|20,3.75,3.80,,,,0,10,73,1,2018-04-02 00:00:00,2018-04-03 00:00:00,long = 24 short = 20 signal = 13 [thresholds] down = -0.025 persistence = 1 up = 0.025,first run
USDT,BTC,MACD 9|21|18,3.75,3.80,,,,0,10,73,1,2018-04-02 00:00:00,2018-04-03 00:00:00,long = 21 short = 18 signal = 9 [thresholds] down = -0.025 persistence = 1 up = 0.025,first run
USDT,BTC,MACD 11|25|14,3.75,3.80,,,,0,10,73,1,2018-04-02 00:00:00,2018-04-03 00:00:00,long = 25 short = 14 signal = 11 [thresholds] down = -0.025 persistence = 1 up = 0.025,first run
USDT,BTC,MACD 13|24|16,3.75,3.80,,,,0,10,73,1,2018-04-02 00:00:00,2018-04-03 00:00:00,long = 24 short = 16 signal = 13 [thresholds] down = -0.025 persistence = 1 up = 0.025,first run
USDT,BTC,MACD 10|29|19,3.75,3.80,,,,0,10,73,1,2018-04-02 00:00:00,2018-04-03 00:00:00,long = 29 short = 19 signal = 10 [thresholds] down = -0.025 persistence = 1 up = 0.025,first run
USDT,BTC,MACD 15|25|13,3.75,3.80,,,,0,10,73,1,2018-04-02 00:00:00,2018-04-03 00:00:00,long = 25 short = 13 signal = 15 [thresholds] down = -0.025 persistence = 1 up = 0.025,first run
USDT,BTC,MACD 12|23|16,3.75,3.80,,,,0,10,73,1,2018-04-02 00:00:00,2018-04-03 00:00:00,long = 23 short = 16 signal = 12 [thresholds] down = -0.025 persistence = 1 up = 0.025,first run
USDT,BTC,MACD 9|22|19,3.75,3.80,,,,0,10,73,1,2018-04-02 00:00:00,2018-04-03 00:00:00,long = 22 short = 19 signal = 9 [thresholds] down = -0.025 persistence = 1 up = 0.025,first run
USDT,BTC,MACD 10|22|13,3.75,3.80,,,,0,10,73,1,2018-04-02 00:00:00,2018-04-03 00:00:00,long = 22 short = 13 signal = 10 [thresholds] down = -0.025 persistence = 1 up = 0.025,first run
USDT,BTC,MACD 12|26|20,3.75,3.80,,,,0,10,73,1,2018-04-02 00:00:00,2018-04-03 00:00:00,long = 26 short = 20 signal = 12 [thresholds] down = -0.025 persistence = 1 up = 0.025,first run
USDT,BTC,MACD 14|28|15,3.75,3.80,,,,0,10,73,1,2018-04-02 00:00:00,2018-04-03 00:00:00,long = 28 short = 15 signal = 14 [thresholds] down = -0.025 persistence = 1 up = 0.025,first run
USDT,BTC,MACD 9|26|11,1.13,3.80,0.00,-1.32,-1.32,560,10,73,3,2018-04-02 00:00:00,2018-04-03 00:00:00,long = 26 short = 11 signal = 9 [thresholds] down = -0.025 persistence = 1 up = 0.025,first run
USDT,BTC,MACD 13|25|12,3.75,3.80,,,,0,10,73,1,2018-04-02 00:00:00,2018-04-03 00:00:00,long = 25 short = 12 signal = 13 [thresholds] down = -0.025 persistence = 1 up = 0.025,first run
USDT,BTC,MACD 15|23|17,3.75,3.80,,,,0,10,73,1,2018-04-02 00:00:00,2018-04-03 00:00:00,long = 23 short = 17 signal = 15 [thresholds] down = -0.025 persistence = 1 up = 0.025,first run
USDT,BTC,MACD 15|29|13,3.75,3.80,,,,0,10,73,1,2018-04-02 00:00:00,2018-04-03 00:00:00,long = 29 short = 13 signal = 15 [thresholds] down = -0.025 persistence = 1 up = 0.025,first run
USDT,BTC,MACD 15|28|17,3.75,3.80,,,,0,10,73,1,2018-04-02 00:00:00,2018-04-03 00:00:00,long = 28 short = 17 signal = 15 [thresholds] down = -0.025 persistence = 1 up = 0.025,first run
USDT,BTC,MACD 12|30|13,3.75,3.80,,,,0,10,73,1,2018-04-02 00:00:00,2018-04-03 00:00:00,long = 30 short = 13 signal = 12 [thresholds] down = -0.025 persistence = 1 up = 0.025,first run
USDT,BTC,MACD 12|31|10,3.75,3.80,,,,0,10,73,1,2018-04-02 00:00:00,2018-04-03 00:00:00,long = 31 short = 10 signal = 12 [thresholds] down = -0.025 persistence = 1 up = 0.025,first run
USDT,BTC,MACD 13|22|12,3.75,3.80,,,,0,10,73,1,2018-04-02 00:00:00,2018-04-03 00:00:00,long = 22 short = 12 signal = 13 [thresholds] down = -0.025 persistence = 1 up = 0.025,first run
USDT,BTC,MACD 9|22|18,3.75,3.80,,,,0,10,73,1,2018-04-02 00:00:00,2018-04-03 00:00:00,long = 22 short = 18 signal = 9 [thresholds] down = -0.025 persistence = 1 up = 0.025,first run
USDT,BTC,MACD 13|30|18,3.75,3.80,,,,0,10,73,1,2018-04-02 00:00:00,2018-04-03 00:00:00,long = 30 short = 18 signal = 13 [thresholds] down = -0.025 persistence = 1 up = 0.025,first run
USDT,BTC,MACD 12|22|14,3.75,3.80,,,,0,10,73,1,2018-04-02 00:00:00,2018-04-03 00:00:00,long = 22 short = 14 signal = 12 [thresholds] down = -0.025 persistence = 1 up = 0.025,first run
USDT,BTC,MACD 14|29|17,3.75,3.80,,,,0,10,73,1,2018-04-02 00:00:00,2018-04-03 00:00:00,long = 29 short = 17 signal = 14 [thresholds] down = -0.025 persistence = 1 up = 0.025,first run
USDT,BTC,MACD 11|30|15,3.75,3.80,,,,0,10,73,1,2018-04-02 00:00:00,2018-04-03 00:00:00,long = 30 short = 15 signal = 11 [thresholds] down = -0.025 persistence = 1 up = 0.025,first run
USDT,BTC,MACD 9|22|15,3.75,3.80,,,,0,10,73,1,2018-04-02 00:00:00,2018-04-03 00:00:00,long = 22 short = 15 signal = 9 [thresholds] down = -0.025 persistence = 1 up = 0.025,first run
USDT,BTC,MACD 13|29|20,3.75,3.80,,,,0,10,73,1,2018-04-02 00:00:00,2018-04-03 00:00:00,long = 29 short = 20 signal = 13 [thresholds] down = -0.025 persistence = 1 up = 0.025,first run
USDT,BTC,MACD 13|27|20,3.75,3.80,,,,0,10,73,1,2018-04-02 00:00:00,2018-04-03 00:00:00,long = 27 short = 20 signal = 13 [thresholds] down = -0.025 persistence = 1 up = 0.025,first run
USDT,BTC,MACD 10|25|18,3.75,3.80,,,,0,10,73,1,2018-04-02 00:00:00,2018-04-03 00:00:00,long = 25 short = 18 signal = 10 [thresholds] down = -0.025 persistence = 1 up = 0.025,first run
USDT,BTC,MACD 15|28|18,3.75,3.80,,,,0,10,73,1,2018-04-02 00:00:00,2018-04-03 00:00:00,long = 28 short = 18 signal = 15 [thresholds] down = -0.025 persistence = 1 up = 0.025,first run
USDT,BTC,MACD 14|26|13,3.75,3.80,,,,0,10,73,1,2018-04-02 00:00:00,2018-04-03 00:00:00,long = 26 short = 13 signal = 14 [thresholds] down = -0.025 persistence = 1 up = 0.025,first run
USDT,BTC,MACD 11|28|13,3.75,3.80,,,,0,10,73,1,2018-04-02 00:00:00,2018-04-03 00:00:00,long = 28 short = 13 signal = 11 [thresholds] down = -0.025 persistence = 1 up = 0.025,first run
USDT,BTC,MACD 10|22|18,3.75,3.80,,,,0,10,73,1,2018-04-02 00:00:00,2018-04-03 00:00:00,long = 22 short = 18 signal = 10 [thresholds] down = -0.025 persistence = 1 up = 0.025,first run
USDT,BTC,MACD 10|24|16,3.75,3.80,,,,0,10,73,1,2018-04-02 00:00:00,2018-04-03 00:00:00,long = 24 short = 16 signal = 10 [thresholds] down = -0.025 persistence = 1 up = 0.025,first run
USDT,BTC,MACD 13|25|10,3.75,3.80,,,,0,10,73,1,2018-04-02 00:00:00,2018-04-03 00:00:00,long = 25 short = 10 signal = 13 [thresholds] down = -0.025 persistence = 1 up = 0.025,first run
USDT,BTC,MACD 15|24|20,3.75,3.80,,,,0,10,73,1,2018-04-02 00:00:00,2018-04-03 00:00:00,long = 24 short = 20 signal = 15 [thresholds] down = -0.025 persistence = 1 up = 0.025,first run
USDT,BTC,MACD 10|29|11,3.75,3.80,,,,0,10,73,1,2018-04-02 00:00:00,2018-04-03 00:00:00,long = 29 short = 11 signal = 10 [thresholds] down = -0.025 persistence = 1 up = 0.025,first run
USDT,BTC,MACD 11|26|12,3.75,3.80,,,,0,10,73,1,2018-04-02 00:00:00,2018-04-03 00:00:00,long = 26 short = 12 signal = 11 [thresholds] down = -0.025 persistence = 1 up = 0.025,first run
USDT,BTC,MACD 10|23|12,3.75,3.80,,,,0,10,73,1,2018-04-02 00:00:00,2018-04-03 00:00:00,long = 23 short = 12 signal = 10 [thresholds] down = -0.025 persistence = 1 up = 0.025,first run
USDT,BTC,MACD 11|24|13,3.75,3.80,,,,0,10,73,1,2018-04-02 00:00:00,2018-04-03 00:00:00,long = 24 short = 13 signal = 11 [thresholds] down = -0.025 persistence = 1 up = 0.025,first run
USDT,BTC,MACD 9|23|13,3.75,3.80,,,,0,10,73,1,2018-04-02 00:00:00,2018-04-03 00:00:00,long = 23 short = 13 signal = 9 [thresholds] down = -0.025 persistence = 1 up = 0.025,first run
USDT,BTC,MACD 11|26|14,3.75,3.80,,,,0,10,73,1,2018-04-02 00:00:00,2018-04-03 00:00:00,long = 26 short = 14 signal = 11 [thresholds] down = -0.025 persistence = 1 up = 0.025,first run
USDT,BTC,MACD 10|24|11,1.63,3.80,0.00,-1.24,-1.24,590,10,73,3,2018-04-02 00:00:00,2018-04-03 00:00:00,long = 24 short = 11 signal = 10 [thresholds] down = -0.025 persistence = 1 up = 0.025,first run
USDT,BTC,MACD 9|28|19,3.75,3.80,,,,0,10,73,1,2018-04-02 00:00:00,2018-04-03 00:00:00,long = 28 short = 19 signal = 9 [thresholds] down = -0.025 persistence = 1 up = 0.025,first run
USDT,BTC,MACD 15|31|13,3.75,3.80,,,,0,10,73,1,2018-04-02 00:00:00,2018-04-03 00:00:00,long = 31 short = 13 signal = 15 [thresholds] down = -0.025 persistence = 1 up = 0.025,first run
USDT,BTC,MACD 12|24|14,3.75,3.80,,,,0,10,73,1,2018-04-02 00:00:00,2018-04-03 00:00:00,long = 24 short = 14 signal = 12 [thresholds] down = -0.025 persistence = 1 up = 0.025,first run
USDT,BTC,MACD 10|22|11,0.74,3.80,0.00,-1.57,-1.57,550,10,73,3,2018-04-02 00:00:00,2018-04-03 00:00:00,long = 22 short = 11 signal = 10 [thresholds] down = -0.025 persistence = 1 up = 0.025,first run
USDT,BTC,MACD 12|28|11,3.75,3.80,,,,0,10,73,1,2018-04-02 00:00:00,2018-04-03 00:00:00,long = 28 short = 11 signal = 12 [thresholds] down = -0.025 persistence = 1 up = 0.025,first run
USDT,BTC,MACD 15|25|14,3.75,3.80,,,,0,10,73,1,2018-04-02 00:00:00,2018-04-03 00:00:00,long = 25 short = 14 signal = 15 [thresholds] down = -0.025 persistence = 1 up = 0.025,first run
USDT,BTC,MACD 11|24|20,3.75,3.80,,,,0,10,73,1,2018-04-02 00:00:00,2018-04-03 00:00:00,long = 24 short = 20 signal = 11 [thresholds] down = -0.025 persistence = 1 up = 0.025,first run
USDT,BTC,MACD 13|26|11,3.75,3.80,,,,0,10,73,1,2018-04-02 00:00:00,2018-04-03 00:00:00,long = 26 short = 11 signal = 13 [thresholds] down = -0.025 persistence = 1 up = 0.025,first run
USDT,BTC,MACD 9|31|18,3.75,3.80,,,,0,10,73,1,2018-04-02 00:00:00,2018-04-03 00:00:00,long = 31 short = 18 signal = 9 [thresholds] down = -0.025 persistence = 1 up = 0.025,first run
USDT,BTC,MACD 12|24|16,3.75,3.80,,,,0,10,73,1,2018-04-02 00:00:00,2018-04-03 00:00:00,long = 24 short = 16 signal = 12 [thresholds] down = -0.025 persistence = 1 up = 0.025,first run
